"date","var","mean","sd"
2024-01-11,"LAI",1.95183840151443,1.07392929847605
2024-01-11,"Cm",0.00479855496696262,0.000810876710375779
2024-01-11,"CNC_Cprot",7.9734494249488,3.38583741377249
2024-01-11,"FVC",0.589437506681438,0.225165821176385
2024-01-11,"NNI",1.18856020859245,0.147689546662684
2024-01-13,"LAI",0.636129855541079,0.473012219672595
2024-01-13,"Cm",0.0021647088636433,0.00181796225501093
2024-01-13,"CNC_Cprot",3.55458242541482,2.05774099745044
2024-01-13,"FVC",0.44229710561245,0.153655056767939
2024-01-13,"NNI",1.22991482516848,0.154452117374607
2024-01-23,"LAI",1.42809904072174,0.770005545144894
2024-01-23,"Cm",0.00412072419381137,0.000370259928017269
2024-01-23,"CNC_Cprot",6.44325921563215,2.99144090640233
2024-01-23,"FVC",0.530012682166904,0.190370255362936
2024-01-23,"NNI",1.28097403421388,0.14563277648375
2024-01-28,"LAI",1.83622550063355,0.294980080203637
2024-01-28,"Cm",0.00443441921244051,2.17967931714042e-07
2024-01-28,"CNC_Cprot",9.36156455167504,0.773521339525054
2024-01-28,"FVC",0.485809988493836,0.143120039062304
2024-01-28,"NNI",1.47652707127843,0.0763231116858631
2024-01-31,"LAI",0.96333135381276,0.560460100249667
2024-01-31,"Cm",0.00401284048729035,0.000787320425036334
2024-01-31,"CNC_Cprot",4.62474244928291,2.46120448941145
2024-01-31,"FVC",0.41855649615443,0.15284212629229
2024-01-31,"NNI",1.18771597847697,0.122466453711577
2024-02-02,"LAI",0.950968640802298,0.522745837556778
2024-02-02,"Cm",0.00433316029037002,0.000497904944290946
2024-02-02,"CNC_Cprot",4.7474120094246,2.50611968128836
2024-02-02,"FVC",0.413979763836535,0.150838944306112
2024-02-02,"NNI",1.20671724084364,0.174619387395852
2024-02-05,"LAI",0.669348218164212,0.333276442646654
2024-02-05,"Cm",0.00417762957878822,0.0004691569694299
2024-02-05,"CNC_Cprot",3.53888078809304,1.78747384655609
2024-02-05,"FVC",0.336148235318792,0.112813605267577
2024-02-05,"NNI",1.17682885625647,0.12131025286794
2024-02-12,"LAI",0.307705002631126,0.165100030214488
2024-02-12,"Cm",0.00242661993218272,0.000621755523638242
2024-02-12,"CNC_Cprot",2.04304203689965,0.998934436077978
2024-02-12,"FVC",0.198251325788713,0.0590413564790855
2024-02-12,"NNI",NA,NA
2024-02-17,"LAI",0.287803124150445,0.160566709529805
2024-02-17,"Cm",0.00279755190320768,0.000615101126680247
2024-02-17,"CNC_Cprot",2.08402417537345,0.918076084580625
2024-02-17,"FVC",0.264897600097885,0.0732376056700431
2024-02-17,"NNI",1.29904491441112,0.0229508457465934
2024-02-20,"LAI",0.362083821665756,0.233770932829569
2024-02-20,"Cm",0.00319623036430553,0.000944369686930028
2024-02-20,"CNC_Cprot",2.2172920781426,1.18652278503236
2024-02-20,"FVC",0.275041346199984,0.0848604570953044
2024-02-20,"NNI",1.15522765383828,0.0958061855866648
2024-03-16,"LAI",0.644770348444581,0.512943911441081
2024-03-16,"Cm",0.00399416325502856,0.00057398217416907
2024-03-16,"CNC_Cprot",3.02579825163581,1.96475513574202
2024-03-16,"FVC",0.29836396197247,0.134134283836938
2024-03-16,"NNI",1.05338864718365,0.0927887844977072
2024-03-21,"LAI",0.793674103135979,0.620556337244631
2024-03-21,"Cm",0.00463377059840727,0.00055166574104344
2024-03-21,"CNC_Cprot",3.27047612119553,2.23830474904174
2024-03-21,"FVC",0.323006336750506,0.147965605186057
2024-03-21,"NNI",0.912162165935696,0.129788108494646
2024-04-02,"LAI",1.02357181445371,0.740583305365618
2024-04-02,"Cm",0.0044618020961765,0.000522135119578357
2024-04-02,"CNC_Cprot",4.84348210120617,2.68049759642146
2024-04-02,"FVC",0.418588110657279,0.163960077823152
2024-04-02,"NNI",1.12504955230336,0.144610401663385
2024-04-12,"LAI",0.549641065778709,0.467857907900129
2024-04-12,"Cm",0.00399915059367845,0.000780431455996719
2024-04-12,"CNC_Cprot",3.49707126305547,2.02204915368489
2024-04-12,"FVC",0.322998162358999,0.13968319684794
2024-04-12,"NNI",1.211087921467,0.103982009696384
2024-04-17,"LAI",0.100013540647545,0.298484615302604
2024-04-17,"Cm",0.00439439599570104,0.000956024966260387
2024-04-17,"CNC_Cprot",0.846337772613435,0.967982413265324
2024-04-17,"FVC",0.113539690186329,0.0923025910268501
2024-04-17,"NNI",0.709449446001445,0.155209436469169
2024-04-20,"LAI",0.065907373629459,0.288592457518331
2024-04-20,"Cm",0.00366596436414998,0.00106053657552165
2024-04-20,"CNC_Cprot",0.577267362612982,0.865007224899732
2024-04-20,"FVC",0.0430451838051234,0.0779574651801681
2024-04-20,"NNI",0.692566716104106,0.13714148477537
2024-05-05,"LAI",0.0486369757386773,0.22700390027313
2024-05-05,"Cm",0.00227605813144988,0.000607377539751842
2024-05-05,"CNC_Cprot",0.61130406363694,0.717230891150528
2024-05-05,"FVC",0.0204962291086409,0.0656766194380679
2024-05-05,"NNI",0.789250068736505,0.146411154148285
2024-05-10,"LAI",0.047104246963288,0.18869438783298
2024-05-10,"Cm",0.00243445421700355,0.000563150643843618
2024-05-10,"CNC_Cprot",0.580691463989476,0.601182069087508
