crop_id,phase,high_yield_above,inc_N_yield,inc_N_low_SOM,inc_N_low_vigor,inc_N_grassed,inc_N_rain_surplus,inc_N_straw_burial,inc_N_adverse_climate,inc_N_compacted_no_till,inc_N_higher_demand,inc_N_high_density,inc_N_grasses,inc_N_dual_season,inc_N_max,inc_P2O5_yield,inc_P2O5_low_SOM,inc_P2O5_early_sowing,inc_P2O5_continuous_crop,inc_P2O5_high_active_carbonate,inc_P2O5_dual_season,inc_P2O5_max,inc_K2O_yield,inc_K2O_unfertilised_or_late_cv,inc_K2O_low_SOM,inc_K2O_dual_season,inc_K2O_storage_industrial_cv,inc_K2O_max
E10,nd,3.2,20.0,15.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,20.0
E11,nd,2.5,15.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,30.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0
E12,nd,2.5,15.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,30.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0
E13,nd,2.4,10.0,20.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,10.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,20.0
E14,nd,3.6,25.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,20.0
E15,nd,3.6,25.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,20.0
E16,nd,7.0,25.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,10.0
E17,nd,7.0,25.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,10.0
E18,nd,7.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,30.0,0.0,0.0,45.0,20.0,0.0,0.0,0.0,0.0,20.0
E19,nd,7.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,30.0,0.0,0.0,45.0,20.0,0.0,0.0,0.0,0.0,20.0
E20,nd,7.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,30.0,0.0,0.0,45.0,20.0,0.0,0.0,0.0,0.0,20.0
E21,nd,7.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,30.0,0.0,0.0,45.0,20.0,0.0,0.0,0.0,0.0,20.0
E22,nd,7.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,30.0,0.0,0.0,45.0,20.0,0.0,0.0,0.0,0.0,20.0
E23,nd,7.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,30.0,0.0,0.0,45.0,20.0,0.0,0.0,0.0,0.0,20.0
E24,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E25,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E26,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E27,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E28,nd,8.5,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,70.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,20.0
E29,nd,8.5,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,70.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,20.0
E30,nd,14.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,70.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,20.0
E31,nd,14.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,70.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,20.0
E32,nd,19.0,20.0,20.0,0.0,0.0,15.0,30.0,20.0,20.0,30.0,0.0,0.0,0.0,40.0,30.0,10.0,10.0,0.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0,0.0,30.0
E33,nd,19.0,20.0,20.0,0.0,0.0,15.0,30.0,20.0,20.0,30.0,0.0,0.0,0.0,40.0,30.0,10.0,10.0,0.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0,0.0,30.0
