id,crop_id,crop,N,P2O5,K2O,balance,reference_yield,std_N_demand,std_P2O5_demand,std_K2O_demand,harvested_part
150.0,O30,Cipolla alta produzione,0.31,0.12,0.32,sì,60.0,186.0,72.0,192.0,bulbi
151.0,O31,Cocomero,0.19,0.12,0.29,sì,60.0,114.0,72.0,174.0,frutti (peponidi)
152.0,O32,Endivie (indivie riccia e scarola) media produzione,0.47,0.32,0.85,sì,34.0,159.79999999999998,108.80000000000001,289.0,cespi
153.0,O33,Endivie (indivie riccia e scarola) alta produzione,0.47,0.32,0.85,sì,45.0,211.5,144.0,382.5,cespi
154.0,O34,Fagiolino,0.75,0.25,0.75,sì,9.0,67.5,22.5,67.5,baccelli
155.0,O35,Fagiolo in baccelli da sgranare,3.84,2.06,3.46,sì,5.0,192.0,103.0,173.0,baccelli da sgranare
156.0,O36,Fagiolo secco,6.6,3.55,5.95,sì,3.0,197.99999999999997,106.49999999999999,178.5,granella
157.0,O37,Fava da consumo fresco,0.74,0.21,0.42,sì,25.0,185.0,52.5,105.0,baccelli
158.0,O38,Finocchio,0.58,0.11,0.81,sì,30.0,174.0,33.0,243.0,grumoli
159.0,O39,Fragola ,0.45,0.23,0.71,sì,30.0,135.0,69.0,212.99999999999997,frutti
160.0,O40,Lattuga,0.31,0.09,0.5,sì,32.0,99.2,28.799999999999997,160.0,cespi
161.0,O41,Lattuga coltura protetta,0.31,0.09,0.5,sì,32.0,99.2,28.799999999999997,160.0,cespi
162.0,O42,Melanzana in pieno campo media produzione,0.52,0.19,0.62,sì,80.0,416.0,152.0,496.0,frutti (bacche)
163.0,O43,Melanzana coltura protetta alta produzione,0.52,0.19,0.62,sì,150.0,780.0,285.0,930.0,frutti (bacche)
164.0,O44,Melone,0.39,0.17,0.57,sì,40.0,156.0,68.0,227.99999999999997,frutti (peponidi)
165.0,O45,Patata,0.42,0.15,0.7,sì,47.5,199.5,71.25,332.5,tuberi
166.0,O46,Peperone in serra alta produzione,0.38,0.14,0.5,sì,70.0,266.0,98.0,350.0,bacche
167.0,O47,Peperone in serra media produzione,0.38,0.14,0.5,sì,50.0,190.0,70.00000000000001,250.0,bacche
168.0,O48,Piccoli frutti,1.5,,,no,,,,,
169.0,O49,Pisello da industria (grani),3.958333333333333,0.6583333333333334,1.875,sì,5.0,197.91666666666663,32.91666666666667,93.75,semi freschi (grani)
170.0,O50,Pisello da mercato fresco (baccelli),4.75,0.79,2.25,sì,6.0,285.0,47.400000000000006,135.0,baccelli
171.0,O51,Pomodoro da industria media produzione,0.26,0.13,0.37,sì,70.0,182.0,91.0,259.0,bacche
172.0,O52,Pomodoro da industria alta produzione,0.26,0.13,0.37,sì,90.0,234.00000000000003,117.00000000000001,333.0,bacche
173.0,O53,Pomodoro da mensa a pieno campo,0.26,0.12,0.41,sì,70.0,182.0,84.0,287.0,bacche
174.0,O54,Pomodoro da mensa in serra,0.26,0.1,0.4,sì,115.0,299.0,115.0,460.0,bacche
175.0,O55,Porro,0.38,0.14,0.36,sì,40.0,152.0,56.00000000000001,144.0,
176.0,O56,Prezzemolo media produzione,0.24,0.14,0.45,sì,20.0,48.0,28.000000000000004,90.0,
177.0,O57,Prezzemolo alta produzione più tagli,0.24,0.14,0.45,sì,43.5,104.39999999999999,60.900000000000006,195.75,
178.0,O58,Radicchio (cicoria a foglie colorate) media produzione,0.46,0.3,0.45,sì,20.0,92.00000000000001,60.0,90.0,
179.0,O59,Radicchio (cicoria a foglie colorate) alta produzione,0.46,0.3,0.45,sì,35.0,161.0,105.0,157.5,
180.0,O60,Rapa,0.31,0.26,1.2,sì,35.0,108.5,91.0,420.0,radici
181.0,O61,Ravanello,0.46,0.19,0.36,sì,30.0,138.0,57.0,107.99999999999999,
182.0,O62,Rucola media produzione,0.49,0.14,0.53,sì,18.5,90.64999999999999,25.900000000000002,98.05,
183.0,O63,Rucola alta produzione con più tagli,0.49,0.14,0.53,sì,37.0,181.29999999999998,51.800000000000004,196.1,
184.0,O64,Scalogno,0.27,0.13,0.27,sì,8.0,21.6,10.4,21.6,
185.0,O65,Sedano media produzione,0.54,0.2,0.75,sì,50.0,270.0,100.0,375.0,
186.0,O66,Sedano alta produzione,0.54,0.2,0.75,sì,80.0,432.0,160.0,600.0,
187.0,O67,Spinacio alta produzione con più tagli,0.61,0.18,0.7,sì,27.5,167.75,49.5,192.5,
188.0,O68,Spinacio media produzione,0.61,0.18,0.7,sì,20.0,122.0,36.0,140.0,
