ID_min,fertilizer,N,P2O5,K2O
103,NPK 6-12-24,6.0,12.0,24.0
104,NPK 6-15-10,6.0,15.0,10.0
105,NPK 6-18-12,6.0,18.0,12.0
106,NPK 7-14-28,7.0,14.0,28.0
107,NPK 8/24/20S,8.0,24.0,20.0
108,NPK 8/24/24,8.0,24.0,24.0
109,NPK 8-14-18,8.0,14.0,18.0
110,NPK 8-16-20,8.0,16.0,20.0
111,NPK 8-24-20,8.0,24.0,20.0
112,NPK 8-24-24,8.0,24.0,24.0
113,NPK 8-5-28,8.0,5.0,28.0
114,"NUTRIGRAN TOP   12/24,5/0 +6+0,02+0,01",12.0,24.5,0.0
115,OLIVETO  15-5-5,15.0,5.0,5.0
116,ORGANOR PELLET   ,5.0,3.0,0.0
117,Perfosfato concentrato 0-27-0,0.0,27.0,0.0
118,Perfosfato semplice 0-19-0,0.0,19.0,0.0
119,PERFOSFATO SEMPLICE GRAN. 18%,0.0,18.0,0.0
120,PERFOSFATO SEMPLICE GRAN. 19%,0.0,19.0,0.0
121,Perfosfato triplo 0-45-0 + microel.,0.0,45.0,0.0
122,PERFOSFATO TRIPLO 46%,0.0,46.0,0.0
123,PK  29-17,0.0,29.0,17.0
124,PK 10-20,0.0,10.0,20.0
125,PK 16/25,0.0,16.0,25.0
126,PK 19-28,0.0,19.0,28.0
127,Potassio Liquido 25,0.0,0.0,25.0
128,Scorie potassiche 0-12-12,0.0,12.0,12.0
129,Scorie Thomas,0.0,16.0,0.0
130,SOLFATO AMMCO GRAN. PRATIKO 21%+66 SO3,21.0,0.0,0.0
131,SOLFATO AMMCO POLV. N20% ,20.0,0.0,0.0
132,Solfato ammonico 21%,21.0,0.0,0.0
133,SOLFATO POT.50%GRAN. ,0.0,0.0,50.0
134,SOLFATO POT.MAGN.GRAN. 30+10 ,0.0,0.0,30.0
135,SOLFATO POT.MULTI SOP,0.0,0.0,51.0
136,"Solfato potassico , magnesio",0.0,0.0,30.0
137,Solfato potassio 50%,0.0,0.0,50.0
138,"SUPER ROBUR    ORG.MIN.15/5/5 +26+7,5",15.0,5.0,5.0
139,"SUPER ROBUR ""S""    ORG.MIN.17/5/7 +27+7,5",17.0,5.0,7.0
140,"UNIKO 25,5 N ",25.5,0.0,0.0
141,Urea 46%,46.0,0.0,0.0
142,UREA AGRICOLA GR.46%,46.0,0.0,0.0
143,UREA AGRICOLA PRIL.46%,46.0,0.0,0.0
144,Urea fosfato,18.0,44.0,0.0
145,"VIGNAFRUT MB    ORG.MIN.10/5/14,5+2+16",10.0,5.0,14.5
146,VIGOR TOP 60    ORG.MIN.10/6/14,10.0,6.0,14.0
