id,crop_id,crop,phase,standard_yield,standard_N,P2O5_normal,P2O5_low,P2O5_high,P2O5_very_low,K2O_normal,K2O_low,K2O_high,K2O_very_low
78.0,E45,Segale pianta intera,nd,4.0,100.0,50.0,100.0,0.0,100.0,100.0,150.0,0.0,150.0
79.0,E46,Senape indiana,nd,,,,,,,,,,
80.0,E47,Soia (granella),nd,3.5,0.0,50.0,100.0,0.0,100.0,80.0,120.0,0.0,120.0
81.0,E48,Soia (pianta intera),nd,3.5,0.0,50.0,100.0,0.0,100.0,80.0,120.0,0.0,120.0
82.0,E49,Sorgo da foraggio,nd,,,,,,,,,,
83.0,E50,Sorgo da granella  (solo granella),nd,7.5,160.0,50.0,80.0,0.0,80.0,50.0,100.0,0.0,100.0
84.0,E51,Sorgo da granella (pianta intera),nd,7.5,160.0,50.0,80.0,0.0,80.0,50.0,100.0,0.0,100.0
85.0,E52,Tabacco Bright,nd,,,,,,,,,,
86.0,E53,Tabacco Bright pianta intera,nd,,,,,,,,,,
87.0,E54,Tabacco Burley,nd,,,,,,,,,,
88.0,E55,Tabacco Burley pianta intera,nd,,,,,,,,,,
89.0,E56,Triticale,nd,7.5,140.0,50.0,100.0,0.0,100.0,75.0,125.0,0.0,125.0
90.0,E57,Triticale pianta intera,nd,7.5,140.0,50.0,100.0,0.0,100.0,125.0,175.0,0.0,175.0
91.0,F1,Avena insilata,nd,,,,,,,,,,
92.0,F2,Colza insilato,nd,,,,,,,,,,
93.0,F3,Erba mazzolina,nd,12.5,200.0,75.0,100.0,0.0,100.0,150.0,200.0,0.0,200.0
94.0,F4,Erba medica,nd,12.5,0.0,60.0,100.0,0.0,100.0,150.0,200.0,0.0,200.0
95.0,F5,Erbai aut prim. Di cer. O cruc.,nd,,,,,,,,,,
96.0,F6,Erbai aut prim. Di leguminose,nd,,,,,,,,,,
97.0,F7,Erbai biennali o Prati avv. di Graminacee,nd,,,,,,,,,,
98.0,F8,Erbai biennali misti o Prati avv. Polifita,nd,,,,,,,,,,
99.0,F9,Farro insilato,nd,,,,,,,,,,
100.0,F10,Festuca arundinacea,nd,12.5,200.0,75.0,100.0,0.0,100.0,150.0,200.0,0.0,200.0
101.0,F11,Fleolo (coda di topo),nd,,,,,,,,,,
102.0,F12,Grano duro  insilato,nd,,,,,,,,,,
103.0,F13,Grano tenero  insilato,nd,,,,,,,,,,
104.0,F14,Loglio da insilare,nd,,,,,,,,,,
105.0,F15,Loiessa,nd,,,,,,,,,,
106.0,F16,Loietto perenne,nd,,,,,,,,,,
107.0,F17,Orzo insilato,nd,,,,,,,,,,
108.0,F18,Prati di graminacee,nd,,,,,,,,,,
109.0,F19,Prati di trifoglio,nd,,,,,,,,,,
110.0,F20,Prati di leguminose in purezza - Trifoglio,nd,8.5,0.0,80.0,120.0,50.0,120.0,70.0,90.0,40.0,90.0
111.0,F21,Prati di leguminose in purezza - Ginestrino,nd,7.0,0.0,40.0,80.0,20.0,80.0,30.0,50.0,0.0,50.0
112.0,F22,Prati di leguminose in purezza - Sulla,nd,8.0,0.0,60.0,100.0,50.0,100.0,50.0,70.0,40.0,70.0
113.0,F23,Prati di leguminose in purezza - Lupinella,nd,6.5,0.0,80.0,120.0,50.0,120.0,70.0,90.0,40.0,90.0
114.0,F24,Prati pascoli in collina,nd,,,,,,,,,,
115.0,F25,Prati polifiti >50% leguminose,nd,,,,,,,,,,
116.0,F26,Prati polifiti,nd,8.5,155.0,50.0,100.0,0.0,100.0,150.0,200.0,0.0,200.0
117.0,F27,Prati stabili in pianura,nd,13.0,140.0,80.0,80.0,0.0,0.0,300.0,300.0,0.0,300.0
118.0,F28,Prato misto,nd,,,,,,,,,,
119.0,F29,Segale insilato,nd,,,,,,,,,,
120.0,F30,Triticale insilato,nd,,,,,,,,,,
121.0,O1,Aglio,nd,9.0,110.0,75.0,100.0,50.0,100.0,130.0,180.0,70.0,180.0
122.0,O2,Asparago verde (pianta intera),nd,8.0,180.0,60.0,100.0,30.0,100.0,160.0,200.0,120.0,200.0
123.0,O3,Asparago verde alta produzione,nd,10.5,200.0,100.0,150.0,50.0,150.0,160.0,240.0,120.0,240.0
124.0,O4,Basilico media produzione,nd,20.0,100.0,70.0,90.0,50.0,90.0,80.0,120.0,40.0,120.0
125.0,O5,Basilico alta produzione più tagli,nd,55.0,60.0,80.0,100.0,60.0,100.0,70.0,110.0,40.0,110.0
126.0,O6,Bietola da costa e da foglia m. fresco  media produzione,nd,25.0,150.0,100.0,120.0,40.0,120.0,130.0,200.0,50.0,200.0
127.0,O7,Bietola da costa e da foglia m. fresco  alta produzione più tagli,nd,35.0,160.0,100.0,120.0,50.0,120.0,175.0,245.0,70.0,245.0
128.0,O8,Bietola da foglie per l'industria media produzione più tagli,nd,25.0,110.0,100.0,120.0,40.0,120.0,130.0,200.0,50.0,200.0
129.0,O9,Bietola da costa per l'industria alta produzione più tagli,nd,35.0,160.0,100.0,120.0,50.0,120.0,200.0,270.0,70.0,270.0
130.0,O10,Broccoletto  - Cime di rapa,nd,,,,,,,,,,
131.0,O11,Broccolo media produzione,nd,20.0,130.0,80.0,120.0,30.0,120.0,100.0,120.0,30.0,120.0
132.0,O12,Broccolo alta produzione,nd,32.5,160.0,80.0,120.0,50.0,120.0,130.0,150.0,70.0,150.0
133.0,O13,Cappuccio media produzione,nd,27.0,150.0,80.0,120.0,30.0,120.0,150.0,200.0,30.0,200.0
134.0,O14,Cappuccio alta produzione,nd,50.0,180.0,80.0,120.0,40.0,120.0,180.0,230.0,80.0,230.0
135.0,O15,Carciofo,nd,15.5,180.0,120.0,170.0,70.0,170.0,150.0,200.0,80.0,200.0
136.0,O16,Cardo media produzione,nd,25.5,120.0,80.0,120.0,50.0,120.0,170.0,260.0,100.0,260.0
137.0,O17,Cardo alta produzione,nd,32.5,150.0,80.0,120.0,50.0,120.0,180.0,270.0,110.0,270.0
138.0,O18,Carota,nd,50.0,120.0,150.0,220.0,80.0,220.0,200.0,300.0,100.0,300.0
139.0,O19,Cavolfiore media produzione,nd,35.0,150.0,80.0,100.0,30.0,100.0,150.0,200.0,30.0,200.0
140.0,O20,Cavolfiore alta produzione,nd,45.0,180.0,80.0,120.0,50.0,120.0,180.0,230.0,80.0,230.0
141.0,O21,Cavolo verza mercato media produzione,nd,24.0,130.0,90.0,120.0,30.0,120.0,150.0,190.0,30.0,190.0
142.0,O22,Cavolo verza mercato alta produzione,nd,50.0,160.0,90.0,120.0,40.0,120.0,180.0,220.0,80.0,220.0
143.0,O23,"Cavolo Riccio, Cavolo nero e Cavolo Rapa",nd,20.0,130.0,80.0,120.0,50.0,120.0,100.0,120.0,70.0,120.0
144.0,O24,Cetriolo da mensa media produzione,nd,120.0,175.0,100.0,200.0,50.0,200.0,200.0,300.0,100.0,300.0
145.0,O25,Cetriolo da mensa alta produzione,nd,150.0,210.0,120.0,220.0,70.0,220.0,250.0,300.0,170.0,300.0
146.0,O26,Cicoria da mercato media produzione,nd,28.0,140.0,140.0,200.0,80.0,200.0,140.0,200.0,70.0,200.0
147.0,O27,Cicoria da mercato alta produzione,nd,37.5,165.0,140.0,200.0,80.0,200.0,150.0,210.0,100.0,210.0
148.0,O28,Cicoria da industria alta produzione più tagli,nd,28.0,140.0,140.0,200.0,80.0,200.0,140.0,200.0,70.0,200.0
149.0,O29,Cipolla media produzione,nd,45.0,130.0,85.0,140.0,50.0,140.0,150.0,200.0,70.0,200.0
150.0,O30,Cipolla alta produzione,nd,65.0,180.0,90.0,160.0,70.0,160.0,180.0,230.0,90.0,230.0
151.0,O31,Cocomero,nd,60.0,100.0,120.0,180.0,60.0,180.0,160.0,240.0,80.0,240.0
152.0,O32,Endivie (indivie riccia e scarola) media produzione,nd,34.0,130.0,140.0,200.0,80.0,200.0,140.0,200.0,70.0,200.0
153.0,O33,Endivie (indivie riccia e scarola) alta produzione,nd,45.0,160.0,140.0,200.0,80.0,200.0,160.0,220.0,90.0,220.0
154.0,O34,Fagiolino,nd,9.0,70.0,70.0,90.0,50.0,90.0,70.0,100.0,40.0,100.0
155.0,O35,Fagiolo in baccelli da sgranare,nd,5.0,70.0,70.0,90.0,50.0,90.0,100.0,130.0,70.0,130.0
156.0,O36,Fagiolo secco,nd,,,,,,,,,,
157.0,O37,Fava da consumo fresco,nd,,,,,,,,,,
158.0,O38,Finocchio,nd,30.0,160.0,80.0,120.0,50.0,120.0,170.0,250.0,100.0,250.0
159.0,O39,Fragola ,nd,30.0,120.0,80.0,100.0,30.0,100.0,130.0,200.0,50.0,200.0
160.0,O40,Lattuga,nd,32.0,110.0,70.0,90.0,50.0,90.0,150.0,220.0,80.0,220.0
161.0,O41,Lattuga coltura protetta,nd,,,,,,,,,,
162.0,O42,Melanzana in pieno campo media produzione,nd,80.0,250.0,150.0,210.0,75.0,210.0,250.0,300.0,150.0,300.0
163.0,O43,Melanzana coltura protetta alta produzione,nd,150.0,300.0,200.0,250.0,125.0,250.0,250.0,300.0,200.0,300.0
164.0,O44,Melone,nd,40.0,120.0,80.0,140.0,50.0,140.0,250.0,300.0,100.0,300.0
165.0,O45,Patata,nd,47.5,190.0,110.0,160.0,60.0,160.0,270.0,300.0,170.0,300.0
166.0,O46,Peperone in serra alta produzione,nd,70.0,190.0,90.0,170.0,60.0,170.0,275.0,300.0,180.0,300.0
167.0,O47,Peperone in serra media produzione,nd,50.0,160.0,75.0,150.0,50.0,150.0,250.0,300.0,120.0,300.0
168.0,O48,Piccoli frutti,nd,,,,,,,,,,
169.0,O49,Pisello da industria (grani),nd,6.0,50.0,100.0,130.0,50.0,130.0,70.0,90.0,50.0,90.0
170.0,O50,Pisello da mercato fresco (baccelli),nd,6.0,50.0,100.0,150.0,50.0,150.0,70.0,90.0,50.0,90.0
171.0,O51,Pomodoro da industria media produzione,nd,70.0,130.0,130.0,190.0,80.0,190.0,200.0,250.0,120.0,250.0
172.0,O52,Pomodoro da industria alta produzione,nd,90.0,150.0,150.0,190.0,100.0,190.0,230.0,280.0,150.0,280.0
173.0,O53,Pomodoro da mensa a pieno campo,nd,70.0,130.0,130.0,190.0,80.0,190.0,200.0,250.0,120.0,250.0
174.0,O54,Pomodoro da mensa in serra,nd,115.0,230.0,150.0,220.0,80.0,220.0,250.0,300.0,180.0,300.0
175.0,O55,Porro,nd,40.0,180.0,80.0,110.0,50.0,110.0,200.0,250.0,150.0,250.0
176.0,O56,Prezzemolo media produzione,nd,20.0,80.0,60.0,120.0,40.0,120.0,100.0,150.0,50.0,150.0
177.0,O57,Prezzemolo alta produzione più tagli,nd,43.5,50.0,80.0,130.0,60.0,130.0,150.0,200.0,100.0,200.0
178.0,O58,Radicchio (cicoria a foglie colorate) media produzione,nd,20.0,130.0,120.0,160.0,80.0,160.0,140.0,200.0,70.0,200.0
179.0,O59,Radicchio (cicoria a foglie colorate) alta produzione,nd,35.0,150.0,120.0,160.0,80.0,160.0,150.0,210.0,90.0,210.0
180.0,O60,Rapa,nd,35.0,,,,,,,,,
181.0,O61,Ravanello,nd,30.0,80.0,60.0,100.0,40.0,100.0,90.0,120.0,60.0,120.0
182.0,O62,Rucola media produzione,nd,18.5,110.0,80.0,120.0,50.0,120.0,120.0,160.0,60.0,160.0
183.0,O63,Rucola alta produzione con più tagli,nd,37.0,80.0,80.0,120.0,50.0,120.0,150.0,190.0,90.0,190.0
184.0,O64,Scalogno,nd,8.0,90.0,60.0,90.0,30.0,90.0,60.0,80.0,40.0,80.0
185.0,O65,Sedano media produzione,nd,50.0,240.0,120.0,160.0,80.0,160.0,150.0,250.0,100.0,250.0
186.0,O66,Sedano alta produzione,nd,80.0,270.0,120.0,160.0,80.0,160.0,200.0,300.0,150.0,300.0
187.0,O67,Spinacio alta produzione con più tagli,nd,27.5,110.0,50.0,70.0,30.0,70.0,130.0,150.0,30.0,150.0
188.0,O68,Spinacio media produzione,nd,20.0,150.0,50.0,70.0,30.0,70.0,100.0,120.0,30.0,120.0
189.0,O69,Verza - cavolo da mercato media produzione,nd,24.0,130.0,90.0,120.0,30.0,120.0,150.0,190.0,30.0,190.0
190.0,O70,Verza - cavolo da mercato alta produzione,nd,50.0,160.0,90.0,120.0,30.0,120.0,180.0,220.0,30.0,220.0
191.0,O71,Verza da industria,nd,35.0,150.0,100.0,150.0,0.0,150.0,150.0,190.0,0.0,190.0
192.0,O72,Zucca,nd,35.0,110.0,70.0,110.0,50.0,110.0,200.0,260.0,100.0,260.0
193.0,O73,Zucchino da industria media produzione,nd,50.0,175.0,150.0,190.0,30.0,190.0,150.0,200.0,50.0,300.0
