crop_id,phase,low_yield_below,red_N_yield,red_N_prev_amendment,red_N_excessive_vigor,red_N_high_SOM,red_N_very_high_SOM,red_N_after_alfalfa_meadow,red_N_after_legume,red_N_3rd_cycle,red_P2O5_yield,red_P2O5_prev_amendment,red_P2O5_high_SOM,red_P2O5_3rd_cycle,red_P2O5_localized,red_K2O_yield,red_K2O_prev_amendment,red_K2O_high_SOM,red_K2O_3rd_cycle,red_K2O_straw_burial
O73,nd,40.0,30.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
O74,nd,55.0,30.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
O75,nd,32.0,30.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
O76,nd,40.0,30.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
S1,nd,,0.0,20.0,0.0,20.0,0.0,40.0,40.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
S2,nd,,0.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
S3,nd,40.0,20.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,30.0,10.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
S4,nd,,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
S5,nd,,0.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
S6,nd,,0.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
S7,nd,,0.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
S8,nd,36.0,0.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,20.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
S9,nd,,0.0,20.0,0.0,15.0,0.0,80.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
S10,nd,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11,nd,,0.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
S12,nd,5.0,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
S13,nd,5.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
S14,nd,2.4,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
S15,nd,,0.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
S16,nd,5.2,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
S17,nd,,0.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
S18,nd,,0.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
S19,nd,,0.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
S20,nd,3.0,30.0,20.0,0.0,15.0,15.0,80.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,50.0
S21,nd,,0.0,0.0,0.0,15.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
S22,nd,6.5,30.0,20.0,0.0,15.0,15.0,80.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,50.0
S23,nd,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BL1,1° taglio,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
BL1,2° taglio o succ.,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
BL3,1° taglio,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0
BL3,2° taglio o succ.,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0
BL5,1° taglio,8.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
BL5,2° taglio o succ.,8.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
BL7,un ciclo intero,26.0,20.0,20.0,0.0,15.0,0.0,15.0,15.0,20.0,15.0,10.0,0.0,20.0,0.0,30.0,30.0,0.0,20.0,0.0
BL8,1° taglio,9.0,10.0,10.0,0.0,10.0,0.0,20.0,20.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
BL9,2° taglio o succ.,9.0,10.0,10.0,0.0,10.0,0.0,20.0,20.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
BL10,1° taglio,5.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
BL11,2° taglio o succ.,5.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
BL12,1° taglio,4.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
BL13,2° taglio o succ.,4.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
BL14,un ciclo intero,8.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
BL15,un ciclo intero,8.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
0,,,,,,,,,,,,,,,,,,,,
2,4,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0
criterio,,,,,,,,,,,,,,,,,,,,
ID_Coltura,fase,,,,,,,,,,,,,,,,,,,
E17,nd,5.0,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
