id,group_id,crop_id,phase,crop,max_theoretical_N,MAS_N,reference_yield,yield_unit,product,dry_or_irrigated,reference_yield_t_ha,dry_matter_pct,standard_yield,standard_N,max_increment,max_N_dose,note,crop_en
147.0,27.0,O27,nd,Cicoria da mercato alta produzione,340.0,210.0,32.0,tq,,no,32.0,6.6,37.5,165.0,40.0,205.0,RR n. 2/2024,Cicoria da mercato alta produzione
148.0,28.0,O28,nd,Cicoria da industria alta produzione più tagli,340.0,210.0,32.0,tq,,no,32.0,6.6,28.0,140.0,40.0,180.0,RR n. 2/2024,Cicoria da industria alta produzione più tagli
149.0,29.0,O29,nd,Cipolla media produzione,340.0,160.0,35.0,tq,,no,35.0,7.9,45.0,130.0,50.0,180.0,RR n. 2/2024,Cipolla media produzione
150.0,30.0,O30,nd,Cipolla alta produzione,340.0,160.0,65.0,tq,,no,65.0,7.9,65.0,180.0,50.0,230.0,Ricalcolato col DPI,Cipolla alta produzione
151.0,31.0,O31,nd,Cocomero,340.0,130.0,60.0,tq,,no,60.0,5.0,60.0,100.0,30.0,130.0,RR n. 2/2024,Cocomero
152.0,32.0,O32,nd,Endivie (indivie riccia e scarola) media produzione,340.0,130.0,35.0,tq,,no,35.0,,34.0,130.0,40.0,170.0,RR n. 2/2024,Endivie (indivie riccia e scarola) media produzione
153.0,33.0,O33,nd,Endivie (indivie riccia e scarola) alta produzione,340.0,130.0,35.0,tq,,no,35.0,,45.0,160.0,40.0,200.0,RR n. 2/2024,Endivie (indivie riccia e scarola) alta produzione
154.0,34.0,O34,nd,Fagiolino,340.0,70.0,9.0,tq,,no,9.0,,9.0,70.0,25.0,95.0,RR n. 2/2024,Fagiolino
155.0,35.0,O35,nd,Fagiolo in baccelli da sgranare,340.0,70.0,4.0,tq,,no,4.0,50.0,5.0,70.0,25.0,95.0,RR n. 2/2024,Fagiolo in baccelli da sgranare
156.0,36.0,O36,nd,Fagiolo secco,340.0,,,nd,nd,no,0.0,86.0,,,0.0,,,Fagiolo secco
157.0,37.0,O37,nd,Fava da consumo fresco,340.0,,,nd,nd,no,0.0,16.0,,,0.0,,,Fava da consumo fresco
158.0,38.0,O38,nd,Finocchio,340.0,240.0,38.0,tq,,no,38.0,6.8,30.0,160.0,50.0,210.0,RR n. 2/2024,Fennel
159.0,39.0,O39,nd,Fragola ,340.0,160.0,35.0,tq,,no,35.0,10.0,30.0,120.0,40.0,160.0,RR n. 2/2024,Fragola 
160.0,40.0,O40,nd,Lattuga,340.0,130.0,30.0,tq,,no,30.0,5.7,32.0,110.0,40.0,150.0,RR n. 2/2024,Lettuce
161.0,41.0,O41,nd,Lattuga coltura protetta,340.0,,,nd,nd,no,0.0,,,,0.0,,,Lattuga coltura protetta
162.0,42.0,O42,nd,Melanzana in pieno campo media produzione,340.0,175.0,70.0,tq,,no,70.0,7.3,80.0,250.0,50.0,300.0,RR n. 2/2024,Melanzana in pieno campo media produzione
163.0,43.0,O43,nd,Melanzana coltura protetta alta produzione,340.0,175.0,70.0,tq,,no,70.0,7.3,150.0,300.0,50.0,350.0,RR n. 2/2024,Melanzana coltura protetta alta produzione
164.0,44.0,O44,nd,Melone,340.0,140.0,35.0,tq,,no,35.0,,40.0,120.0,40.0,160.0,RR n. 2/2024,Melon
