id,group_id,crop_id,phase,crop,max_theoretical_N,MAS_N,reference_yield,yield_unit,product,dry_or_irrigated,reference_yield_t_ha,dry_matter_pct,standard_yield,standard_N,max_increment,max_N_dose,note,crop_en
26.0,26.0,A31,nd,"Pero alta produzione frutti, legno e foglie",340.0,120.0,30.0,tq,,no,30.0,,40.0,120.0,50.0,170.0,RR n. 2/2024,"Pear (high yield) - fruit, wood and leaves"
27.0,27.0,A32,nd,"Pesco frutti, legno e foglie",340.0,175.0,25.0,tq,,no,25.0,,25.0,100.0,50.0,150.0,RR n. 2/2024,"Peach - fruit, wood and leaves"
28.0,28.0,A33,nd,Pioppo,340.0,,,nd,nd,no,0.0,,,,0.0,,,Poplar
29.0,29.0,A34,nd,Pioppo da energia,340.0,,,nd,nd,no,0.0,,,,0.0,,,Energy poplar
30.0,30.0,A35,nd,"Susino frutti, legno e foglie",340.0,120.0,20.0,tq,,no,20.0,,25.0,90.0,50.0,140.0,RR n. 2/2024,"Plum - fruit, wood and leaves"
31.0,31.0,A36,nd,"Uva da tavola grappoli, tralci e foglie",340.0,100.0,18.0,tq,,no,18.0,,25.0,90.0,50.0,140.0,RR n. 2/2024,"Table grape - bunches, shoots and leaves"
32.0,32.0,A37,nd,"Vite per uva da vino (collina e montagna) grappoli, tralci e foglie ",340.0,70.0,9.0,tq,,no,9.0,,10.0,50.0,40.0,90.0,RR n. 2/2024,"Grapevine for wine (hill and mountain) - bunches, shoots and leaves"
33.0,33.0,A38,nd,"Vite per uva da vino (pianura) grappoli, legno e foglie",340.0,100.0,18.0,tq,,no,18.0,,20.0,80.0,30.0,110.0,RR n. 2/2024,"Vite per uva da vino (pianura) grappoli, legno e foglie"
34.0,1.0,E1,nd,Altri cereali a paglia (pianta intera),340.0,,,nd,nd,no,0.0,,,,0.0,,,Altri cereali a paglia (pianta intera)
35.0,2.0,E2,nd,Avena,340.0,110.0,4.5,tq,gran,no,4.5,87.0,3.2,60.0,40.0,100.0,RR n. 2/2024,Avena
36.0,3.0,E3,nd,Avena pianta intera,340.0,110.0,4.5,tq,gran,no,4.5,87.0,3.2,60.0,40.0,100.0,RR n. 2/2024,Avena pianta intera
37.0,4.0,E4,nd,Barbababietola da zucchero (pianta intera),340.0,160.0,60.0,tq,,no,60.0,23.0,70.0,120.0,40.0,160.0,RR n. 2/2024,Barbababietola da zucchero (pianta intera)
38.0,5.0,E5,nd,Barbabietola da zucchero  (radici),340.0,160.0,60.0,tq,,no,60.0,23.0,50.0,120.0,40.0,160.0,RR n. 2/2024,Barbabietola da zucchero  (radici)
39.0,6.0,E6,nd,Canapa da fibra,340.0,,,nd,nd,no,0.0,30.0,,,0.0,,,Canapa da fibra
40.0,7.0,E7,nd,Cavolo abissino,340.0,,,nd,nd,no,0.0,90.0,,,0.0,,,Cavolo abissino
41.0,8.0,E8,nd,Cece,340.0,80.0,3.0,tq,,no,3.0,86.0,2.0,40.0,30.0,70.0,RR n. 2/2024,Cece
42.0,9.0,E9,nd,Colza,340.0,150.0,4.0,tq,gran,no,4.0,90.0,2.5,135.0,40.0,175.0,RR n. 2/2024,Colza
43.0,10.0,E10,nd,Colza pianta intera,340.0,150.0,4.0,tq,gran,no,4.0,90.0,2.5,135.0,40.0,175.0,RR n. 2/2024,Colza pianta intera
44.0,11.0,E11,nd,Farro,340.0,,,nd,nd,no,0.0,87.0,2.0,40.0,30.0,70.0,RR n. 2/2024,Farro
45.0,12.0,E12,nd,Farro (pianta intera),340.0,,,nd,nd,no,0.0,87.0,2.0,40.0,30.0,70.0,RR n. 2/2024,Farro (pianta intera)
46.0,13.0,E13,nd,Favino da granella,340.0,,,nd,nd,no,0.0,86.0,2.0,0.0,40.0,40.0,RR n. 2/2024,Favino da granella
47.0,14.0,E14,nd,Girasole (acheni),340.0,120.0,3.5,tq,gran,no,3.5,90.0,3.0,90.0,40.0,130.0,RR n. 2/2024,Girasole (acheni)
48.0,15.0,E15,nd,Girasole (pianta intera),340.0,120.0,3.5,tq,gran,no,3.5,90.0,3.0,90.0,40.0,130.0,RR n. 2/2024,Girasole (pianta intera)
49.0,16.0,E16,nd,Grano duro (granella),340.0,190.0,6.0,tq,gran,no,6.0,87.0,6.0,160.0,40.0,200.0,RR n. 2/2024,Durum wheat (grain)
50.0,17.0,E17,nd,Grano duro (pianta intera),340.0,190.0,6.0,tq,gran,no,6.0,87.0,6.0,160.0,40.0,200.0,RR n. 2/2024,Durum wheat (whole plant)
51.0,18.0,E18,nd,Grano tenero FP/FPS (granella),340.0,180.0,6.5,tq,gran,no,6.5,87.0,6.0,155.0,40.0,195.0,RR n. 2/2024,Soft wheat FP/FPS (grain)
52.0,19.0,E19,nd,Grano tenero FP/FPS (pianta intera),340.0,180.0,6.5,tq,gran,no,6.5,87.0,6.0,155.0,40.0,195.0,RR n. 2/2024,Soft wheat FP/FPS (whole plant)
53.0,20.0,E20,nd,Grano tenero biscottiero  (granella),340.0,180.0,6.5,tq,gran,no,6.5,87.0,6.0,140.0,40.0,180.0,RR n. 2/2024,Grano tenero biscottiero  (granella)
54.0,21.0,E21,nd,Grano tenero biscottiero pianta intera,340.0,180.0,6.5,tq,gran,no,6.5,87.0,6.0,140.0,40.0,180.0,RR n. 2/2024,Grano tenero biscottiero pianta intera
55.0,22.0,E22,nd,Grano tenero FF (granella),340.0,190.0,6.0,tq,gran,no,6.0,87.0,6.0,160.0,40.0,200.0,RR n. 2/2024,Soft wheat FF - strong (grain)
56.0,23.0,E23,nd,Grano tenero FF (pianta intera),340.0,190.0,6.0,tq,gran,no,6.0,87.0,6.0,160.0,40.0,200.0,RR n. 2/2024,Soft wheat FF - strong (whole plant)
57.0,24.0,E24,nd,Lenticchia,340.0,,,nd,nd,no,0.0,89.0,,,0.0,,,Lenticchia
58.0,25.0,E25,nd,Lino  fibra,340.0,,,nd,nd,no,0.0,90.0,,,0.0,,,Lino  fibra
59.0,26.0,E26,nd,Lino granella,340.0,,,nd,nd,no,0.0,90.0,,,0.0,,,Lino granella
60.0,27.0,E27,nd,Lupino,340.0,,,nd,nd,no,0.0,86.0,,,0.0,,,Lupino
61.0,28.0,E28,nd,Mais da granella 300-400 (granella),340.0,280.0,13.0,tq,gran,no,13.0,86.0,7.0,150.0,70.0,220.0,RR n. 2/2024,Mais da granella 300-400 (granella)
62.0,29.0,E29,nd,Mais da granella 300-400 (pianta intera),340.0,280.0,13.0,tq,gran,sì,13.0,86.0,7.0,150.0,70.0,220.0,RR n. 2/2024,Mais da granella 300-400 (pianta intera)
63.0,30.0,E30,nd,Mais da granella 500-700 (granella),340.0,280.0,13.0,tq,gran,sì,13.0,86.0,12.0,240.0,70.0,310.0,RR n. 2/2024,Mais da granella 500-700 (granella)
64.0,31.0,E31,nd,Mais da granella 500-700 (pianta intera),340.0,280.0,13.0,tq,gran,sì,13.0,86.0,12.0,240.0,70.0,310.0,RR n. 2/2024,Mais da granella 500-700 (pianta intera)
65.0,32.0,E32,nd,Mais dolce  (spighe),340.0,170.0,16.0,tq,spighe,no,16.0,27.5,16.0,170.0,40.0,210.0,RR n. 2/2024,Mais dolce  (spighe)
66.0,33.0,E33,nd,Mais dolce (pianta intera),340.0,170.0,16.0,tq,spighe,no,16.0,27.5,16.0,170.0,40.0,210.0,RR n. 2/2024,Mais dolce (pianta intera)
67.0,34.0,E34,nd,Mais trinciato classe 500,340.0,280.0,23.0,s.s.,pianta,sì,76.66666666666667,30.0,45.0,150.0,50.0,200.0,RR n. 2/2024,Mais trinciato classe 500
68.0,35.0,E35,nd,Mais trinciato classe 700,340.0,280.0,23.0,s.s.,pianta,sì,76.66666666666667,30.0,65.0,240.0,70.0,310.0,RR n. 2/2024,Mais trinciato classe 700
69.0,36.0,E36,nd,Orzo (granella),340.0,150.0,6.0,tq,gran,no,6.0,87.0,6.5,125.0,40.0,165.0,RR n. 2/2024,Barley (grain)
70.0,37.0,E37,nd,Orzo (pianta intera),340.0,150.0,6.0,tq,gran,no,6.0,87.0,6.5,125.0,40.0,165.0,RR n. 2/2024,Barley (whole plant)
71.0,38.0,E38,nd,Panico,340.0,,,nd,nd,no,0.0,85.0,,,0.0,,,Panico
72.0,39.0,E39,nd,Pisello proteico,50.0,,,nd,nd,no,0.0,87.0,5.0,40.0,20.0,60.0,RR n. 2/2024,Pisello proteico
73.0,40.0,E40,nd,Pisello proteico + residui,50.0,,,nd,nd,no,0.0,87.0,5.0,40.0,20.0,60.0,RR n. 2/2024,Pisello proteico + residui
74.0,41.0,E41,nd,Rafano (da sovescio),340.0,,,nd,nd,no,0.0,15.0,,,0.0,,,Rafano (da sovescio)
75.0,42.0,E42,nd,Riso (granella),340.0,160.0,7.0,tq,gran,no,7.0,86.0,7.0,110.0,40.0,150.0,RR n. 2/2024,Riso (granella)
76.0,43.0,E43,nd,Riso (granella+paglia),340.0,160.0,7.0,tq,gran,no,7.0,86.0,7.0,110.0,40.0,150.0,RR n. 2/2024,Riso (granella+paglia)
77.0,44.0,E44,nd,Segale (granella),340.0,120.0,4.5,tq,gran,no,4.5,87.0,4.0,100.0,50.0,150.0,RR n. 2/2024,Rye (grain)
78.0,45.0,E45,nd,Segale pianta intera,340.0,120.0,4.5,tq,gran,no,4.5,87.0,4.0,100.0,50.0,150.0,RR n. 2/2024,Segale pianta intera
79.0,46.0,E46,nd,Senape indiana,340.0,,,nd,nd,no,0.0,90.0,,,0.0,,,Senape indiana
80.0,47.0,E47,nd,Soia (granella),120.0,30.0,3.5,tq,gran,no,3.5,86.0,3.5,0.0,120.0,120.0,RR n. 2/2024,Soybean (grain)
81.0,48.0,E48,nd,Soia (pianta intera),120.0,30.0,3.5,tq,gran,no,3.5,86.0,3.5,0.0,120.0,120.0,RR n. 2/2024,Soia (pianta intera)
82.0,49.0,E49,nd,Sorgo da foraggio,340.0,,,nd,nd,no,0.0,30.0,,,0.0,,,Forage sorghum
83.0,50.0,E50,nd,Sorgo da granella  (solo granella),340.0,220.0,7.5,tq,gran,no,7.5,86.0,7.5,160.0,30.0,190.0,RR n. 2/2024,Sorgo da granella  (solo granella)
84.0,51.0,E51,nd,Sorgo da granella (pianta intera),340.0,220.0,7.5,tq,gran,no,7.5,86.0,7.5,160.0,30.0,190.0,RR n. 2/2024,Sorgo da granella (pianta intera)
85.0,52.0,E52,nd,Tabacco Bright,340.0,200.0,4.4,tq,,no,4.4,81.0,,,0.0,,,Tabacco Bright
86.0,53.0,E53,nd,Tabacco Bright pianta intera,340.0,200.0,4.4,tq,,no,4.4,81.0,,,0.0,,,Tabacco Bright pianta intera
87.0,54.0,E54,nd,Tabacco Burley,340.0,200.0,4.4,tq,,no,4.4,81.0,,,0.0,,,Tabacco Burley
88.0,55.0,E55,nd,Tabacco Burley pianta intera,340.0,200.0,4.4,tq,,no,4.4,81.0,,,0.0,,,Tabacco Burley pianta intera
89.0,56.0,E56,nd,Triticale,340.0,150.0,6.0,tq,gran,no,6.0,87.0,7.5,140.0,50.0,190.0,RR n. 2/2024,Triticale
90.0,57.0,E57,nd,Triticale pianta intera,340.0,150.0,6.0,tq,gran,no,6.0,87.0,7.5,140.0,50.0,190.0,RR n. 2/2024,Triticale pianta intera
91.0,1.0,F1,nd,Avena insilata,340.0,,,nd,nd,no,0.0,35.0,,,0.0,,,Avena insilata
92.0,2.0,F2,nd,Colza insilato,340.0,,,nd,nd,no,0.0,35.0,,,0.0,,,Colza insilato
93.0,3.0,F3,nd,Erba mazzolina,340.0,300.0,13.0,s.s.,fieno,no,15.294117647058824,85.0,12.5,200.0,50.0,250.0,RR n. 2/2024,Erba mazzolina
94.0,4.0,F4,nd,Erba medica,100.0,170.0,,,,no,0.0,85.0,12.5,0.0,100.0,100.0,RR n. 2/2024,Alfalfa
95.0,5.0,F5,nd,Erbai aut prim. Di cer. O cruc.,340.0,120.0,7.0,s.s.,fieno,no,8.23529411764706,85.0,,,0.0,,,Erbai aut prim. Di cer. O cruc.
96.0,6.0,F6,nd,Erbai aut prim. Di leguminose,340.0,,,nd,nd,no,0.0,85.0,,,0.0,,,Erbai aut prim. Di leguminose
97.0,7.0,F7,nd,Erbai biennali o Prati avv. di Graminacee,340.0,300.0,13.0,s.s.,fieno,no,15.294117647058824,85.0,,,0.0,,,Erbai biennali o Prati avv. di Graminacee
98.0,8.0,F8,nd,Erbai biennali misti o Prati avv. Polifita,340.0,300.0,13.0,s.s.,fieno,no,15.294117647058824,85.0,,,0.0,,,Erbai biennali misti o Prati avv. Polifita
99.0,9.0,F9,nd,Farro insilato,340.0,,,nd,nd,no,0.0,35.0,,,0.0,,,Farro insilato
100.0,10.0,F10,nd,Festuca arundinacea,340.0,300.0,13.0,s.s.,fieno,no,15.294117647058824,85.0,12.5,200.0,50.0,250.0,RR n. 2/2024,Festuca arundinacea
101.0,11.0,F11,nd,Fleolo (coda di topo),340.0,,,nd,nd,no,0.0,85.0,,,0.0,,,Fleolo (coda di topo)
102.0,12.0,F12,nd,Grano duro  insilato,340.0,,,nd,nd,no,0.0,35.0,,,0.0,,,Durum wheat silage
103.0,13.0,F13,nd,Grano tenero  insilato,340.0,,,nd,nd,no,0.0,35.0,,,0.0,,,Grano tenero  insilato
104.0,14.0,F14,nd,Loglio da insilare,340.0,,,nd,nd,no,0.0,35.0,,,0.0,,,Loglio da insilare
105.0,15.0,F15,nd,Loiessa,340.0,120.0,7.0,s.s.,gran,no,8.23529411764706,85.0,,,0.0,,,Loiessa
106.0,16.0,F16,nd,Loietto perenne,340.0,,,nd,nd,no,0.0,85.0,,,0.0,,,Loietto perenne
107.0,17.0,F17,nd,Orzo insilato,340.0,,,nd,nd,no,0.0,35.0,,,0.0,,,Orzo insilato
108.0,18.0,F18,nd,Prati di graminacee,340.0,300.0,13.0,s.s.,fieno,no,15.294117647058824,85.0,,,0.0,,,Prati di graminacee
109.0,19.0,F19,nd,Prati di trifoglio,340.0,170.0,11.0,s.s.,fieno,no,10.0,85.0,,,0.0,,,Prati di trifoglio
110.0,20.0,F20,nd,Prati di leguminose in purezza - Trifoglio,340.0,170.0,8.5,s.s.,fieno,no,8.23529411764706,85.0,8.5,0.0,0.0,0.0,,Prati di leguminose in purezza - Trifoglio
111.0,21.0,F21,nd,Prati di leguminose in purezza - Ginestrino,340.0,170.0,7.0,s.s.,fieno,no,9.411764705882351,85.0,7.0,0.0,0.0,0.0,,Prati di leguminose in purezza - Ginestrino
112.0,22.0,F22,nd,Prati di leguminose in purezza - Sulla,340.0,170.0,8.0,s.s.,fieno,no,7.647058823529412,85.0,8.0,0.0,0.0,0.0,,Prati di leguminose in purezza - Sulla
